country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970,2610,2230,2220,2200,2310,2410,2610,2630,2780,2830,2990,3190,3260,3430,3580,3740,3850,3990,3820,3920,3900,3820,3750,3710,,,,,
Haiti,,,,,,,,,,,,12.4,17.2,20.1,23,29.6,27,30.6,34.6,36,41.3,48.2,48.6,49.6,49.9,51,54.2,52.9,54.3,56.7,58.8,45,40.3,28.5,18.7,30.2,33.9,42.1,36.9,39.2,35.8,35.2,30.6,28.8,28.3,37.3,37.7,25.5,23.7,35.9,24.5,31.3,46.1,43.8,39.1,,,,,
Hungary,,,,,,1140,1220,1310,1380,1470,1590,1710,1830,1960,2070,2150,2280,2420,2610,2640,2700,2740,2830,2950,3100,3190,3270,3420,3430,3480,3430,3220,3120,3000,3030,3070,3160,3190,3220,3320,3310,3430,3550,3640,3680,3770,3880,3980,3990,3770,3880,3900,3920,3890,3970,,,,,
Indonesia,,,,,,,,,,,,14.4,15.9,15.8,19.2,21.4,18.3,21.7,31.8,38.7,46.2,52.3,61.4,66.1,71.4,79.8,92.1,104,120,138,163,178,194,213,240,264,297,331,331,357,390,411,417,429,474,501,516,546,570,594,636,680,733,774,812,910,956,1020,1060,1080
India,,,,,,,,,,,,97.8,100,101,104,115,124,126,136,136,142,152,158,166,183,194,208,220,240,257,272,291,304,321,341,359,360,375,386,392,394,394,411,430,452,468,509,542,561,598,640,697,723,764,805,,,,,
Ireland,695,752,838,886,1040,1130,1240,1340,1500,1610,1750,1880,2020,2140,2250,2180,2380,2540,2690,2940,2870,2830,2790,2850,2960,3110,3270,3410,3430,3600,3770,3900,4100,4190,4350,4530,4790,4980,5200,5430,5800,5900,6040,6090,6170,6240,6350,6220,6340,5950,5930,5660,5650,5700,5670,,,,,
Iran,,,,,,,,,,,,274,316,384,421,458,491,514,512,556,538,557,613,682,717,749,759,808,802,860,941,995,1070,1110,1160,1180,1280,1330,1380,1470,1550,1640,1750,1890,2010,2080,2220,2310,2420,2510,2660,2680,2780,2830,3020,,,,,
Iraq,,,,,,,,,,,,259,260,305,324,365,412,485,579,727,792,734,899,1040,1220,1280,1330,1310,1340,1330,1310,1100,1310,1330,1370,1420,1380,1360,1320,1280,1240,1240,1260,1040,1200,837,982,782,769,863,1240,1310,1140,1430,1330,,,,,
Iceland,2610,2870,2900,2980,3070,2970,2910,2920,2990,3800,6470,7000,7650,9900,9960,9590,10k,10.6k,11k,11.8k,12.7k,12.9k,14k,14.6k,15.2k,14.8k,15.4k,15.3k,16.4k,16.4k,16.1k,15.9k,16.1k,16.7k,17.1k,17.4k,17.4k,19k,21.3k,24.5k,26.2k,27k,27.9k,27.7k,28.2k,28k,31.3k,36.9k,50.1k,51.3k,51.4k,52.4k,53.2k,54.8k,53.8k,,,,,
Israel,,,,,,,,,,,,2290,2500,2500,2520,2620,2720,2830,3010,3050,3020,3070,3170,3310,3360,3490,3410,3760,4030,4230,4180,3980,4570,4620,4930,5130,5340,5490,5820,5970,6320,6400,6500,6600,6530,6570,6710,7000,7130,6610,6950,6930,7180,6710,6600,,,,,
Italy,975,1050,1140,1270,1350,1450,1570,1690,1820,1930,2070,2150,2300,2460,2540,2480,2710,2780,2890,3040,3100,3100,3130,3130,3300,3390,3490,3660,3830,4010,4140,4220,4310,4300,4440,4600,4660,4790,4960,5080,5300,5410,5540,5650,5690,5730,5830,5800,5760,5370,5490,5510,5400,5160,5000,,,,,
Jamaica,,,,,,,,,,,,815,967,1000,1050,696,736,756,756,685,661,646,769,741,594,581,607,643,614,580,868,713,1450,1530,1700,2050,2100,2160,2240,2260,2280,2280,2350,2410,2380,2400,2370,1930,1160,1220,1220,1200,1040,1010,1050,,,,,
Jordan,,,,,,,,,,,,131,153,173,189,214,255,223,256,326,366,421,497,623,704,745,777,854,854,862,934,901,998,1020,1050,1110,1150,1160,1220,1250,1290,1320,1400,1440,1550,1580,1680,1780,1850,1810,1850,1850,1920,1850,1860,,,,,
Japan,1100,1260,1330,1520,1690,1790,2000,2270,2510,2890,3250,3420,3740,4070,3970,4040,4310,4440,4670,4860,4720,4750,4700,4960,5180,5320,5330,5640,5910,6240,6810,7010,7020,7080,7510,7690,7840,7990,8000,8150,8300,8160,8270,8160,8390,8540,8540,8710,8270,8020,8590,8100,8000,7990,7820,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5910,5640,5350,4530,4330,4040,3640,3170,2950,2840,3170,3510,3560,3770,3860,4010,4260,4490,4660,4450,4730,4890,5180,5350,5600,,,,,
